"title","year","runtime","genre","rating","overview","director","star","name"
"How to Train Your Dragon",2010,98," Animation, Action, Adventure",8.1," A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."," Dean DeBlois, Chris Sanders"," Jay Baruchel","basia"
"Step Up 2: The Streets",2008,98," Drama, Music, Romance",6.2," Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts."," Jon M. Chu"," Briana Evigan","basia"
"The Karate Kid",2010,140," Action, Drama, Family",6.2," Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master."," Harald Zwart"," Jackie Chan","basia"
"The Age of Adeline",2015,112," Drama, Fantasy, Romance",7.2," A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."," 
Lee Toland Krieger"," Blake Lively","basia"
"Encanto",2021,102," Animation, Comedy, Family",7.2," A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers."," Jared Bush, Byron Howard, Charise Castro Smith"," Stephanie Beatriz","basia"
"Bohemian Rhapsody",2018,134,"Biography, Drama, Music",8,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Bryan Singer","Rami Malek","ola"
"Roma",2018,135,"Drama",7.7,"A year in the life of a middle-class family's maid in Mexico City in the early 1970s.","Alfonso Cuarón","Yalitza Aparicio","ola"
"Coraline",2009,100,"Animation, Drama, Family",7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.","Henry Selick","Dakota Fanning","ola"
"Harry Potter and the Sorcerer's Stone",2001,152,"Adventure, Family, Fantasy",7.6,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Chris Columbus","Daniel Radcliffe","ola"
"Home Alone",1990,103,"Comedy, Family",7.6,"An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.","Chris Columbus","Macaulay Culkin","ola"
"WALL·E",2008,98,"Animation, Adventure, Family",8.4,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Andrew Stanton","Ben Burtt","natalia"
"Isle of Dogs",2018,101,"Animation, Adventure, Comedy",7.9,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","Wes Anderson","Bryan Cranston","natalia"
"The Breakfast Club",1985,97,"Comedy, Drama",7.8,"Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.","John Hughes","Emilio Estevez","natalia"
"What We Do in the Shadows",2014,86,"Comedy, Horror",7.7,"Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts.","Jemaine Clement","Taika Waititi","natalia"
"Casablanca",1942,102,"Drama, Romance, War",8.5,"A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","Michael Curtiz","Humphrey Bogart","natalia"
